data_datetime;Feature 1;Feature 2;Feature 3;Feature 4;Feature 5;Feature 6
2023-02-22 04:23:00+00:00;0.0424945;24.9625;1551.86853;102.200005;29.4439621;241.8248314
2023-02-22 04:33:00+00:00;0.0375;24.9950581;1569.47021;102.200005;29.3859844;241.797945
2023-02-22 04:43:00+00:00;0.04375;25.11744;1551.93;102.200005;29.3;243.3968673
2023-02-22 04:53:00+00:00;0.04375;25.18881;1549.94678;102.200005;29.2460327;242.9207743
2023-02-22 05:03:00+00:00;0.0375;25.2375;1589.85107;102.200005;29.1840687;242.9585275
2023-02-22 05:13:00+00:00;0.04375;25.2762966;1572.25476;102.200005;29.1120319;240.5416203
2023-02-22 05:23:00+00:00;0.03877629;25.282526;1559.35339;102.200005;29.05796;243.0158961
2023-02-22 05:33:00+00:00;0.0375;25.3075161;1582.21619;102.200005;29.08;242.8111558
2023-02-22 05:43:00+00:00;5.331055;25.3112373;1545.17358;102.200005;28.9920158;240.7526507
2023-02-22 05:53:00+00:00;3.771215;25.2862453;1582.67188;102.200005;28.92;239.5739756
2023-02-22 06:03:00+00:00;4.594191;25.25;1600.78442;102.200005;28.9360046;240.5673166
2023-02-22 06:13:00+00:00;5.63382769;25.19249;1542.02832;102.200005;28.90427;239.7302957
2023-02-22 06:23:00+00:00;4.296125;25.076292;1550.147;102.200005;28.8441048;238.5496965
2023-02-22 06:33:00+00:00;3.275;24.9125;1540.38452;102.200005;28.8799171;237.641628
2023-02-22 06:43:00+00:00;3.146173;24.6875;1596.01868;102.200005;28.8879566;239.9937658
2023-02-22 06:53:00+00:00;5.909838;24.420023;1579.76746;102.200005;28.80405;242.2404806
2023-02-22 07:03:00+00:00;8.407187;24.08125;1548.63586;102.200005;28.7960129;240.7512443
2023-02-22 07:13:00+00:00;9.528702;23.8200245;1585.76233;102.200005;28.7420311;241.837516
2023-02-22 07:23:00+00:00;9.923733;23.6075172;1599.03967;102.200005;28.6040173;242.3849397
2023-02-22 07:33:00+00:00;9.121297;23.4625;1547.50757;102.200005;28.54;245.7243084
2023-02-22 07:43:00+00:00;6.901569;23.4013023;1537.52917;102.200005;28.49014;242.589133
2023-02-22 07:53:00+00:00;5.292419;23.3986683;1560.511;102.200005;28.5180016;241.481084
2023-02-22 08:03:00+00:00;5.31745;23.40625;1562.9104;102.200005;28.4397774;238.0701822
2023-02-22 08:13:00+00:00;5.179956;23.40625;1545.7019;102.200005;28.4;235.4905784
2023-02-22 08:23:00+00:00;3.83642173;23.4150867;1544.96387;102.200005;28.3820534;239.1181336
2023-02-22 08:33:00+00:00;3.00752425;23.4349518;1511.39111;102.200005;28.3618984;242.0161879
2023-02-22 08:43:00+00:00;2.51375651;23.4099884;1563.98;102.3;28.3455181;240.3297799
2023-02-22 08:53:00+00:00;2.21748161;23.3137684;1580.43774;102.3;28.3198662;239.275566
2023-02-22 09:03:00+00:00;3.54375;23.22001;1527.705;102.3;28.22;239.9648209
2023-02-22 09:13:00+00:00;5.643476;23.1375;1579.66553;102.3;28.2159;240.2732122
2023-02-22 09:23:00+00:00;8.843695;23.08377;1592.0509;102.3;28.153986;240.2994075
2023-02-22 09:33:00+00:00;10.5412235;23.03125;1591.68018;102.3;28.1001377;240.8025737
2023-02-22 09:43:00+00:00;11.53125;23.0137978;1554.88135;102.3;28.151926;239.7934899
2023-02-22 09:53:00+00:00;10.1338234;23.1125;1533.16125;102.3;28.1220455;241.9611386
2023-02-22 10:03:00+00:00;10.1549511;23.28125;1597.88721;102.360229;28.1037464;239.0315536
2023-02-22 10:13:00+00:00;9.327886;23.4375;1560.44531;102.4;28.1939716;239.0107755
2023-02-22 10:23:00+00:00;5.73142529;23.6287155;1579.41235;102.4;28.2420158;238.7236985
2023-02-22 10:33:00+00:00;3.34003615;23.75;1545.55408;102.4;28.2661324;243.2426706
2023-02-22 10:43:00+00:00;2.1863718;23.8599377;1619.04724;102.4;28.24808;242.1581252
2023-02-22 10:53:00+00:00;1.11381042;23.925;1506.79871;102.4;28.2820358;239.7880633
2023-02-22 11:03:00+00:00;1.53952491;23.95625;1576.50842;102.4;28.36;239.3858656
2023-02-22 11:13:00+00:00;4.322339;23.975;1557.69421;102.4;28.3239574;238.3126453
2023-02-22 11:23:00+00:00;5.171599;23.9237;1495.13074;102.4;28.37801;244.2075317
2023-02-22 11:33:00+00:00;5.69112873;23.82369;1552.509;102.460052;28.38;238.2190984
2023-02-22 11:43:00+00:00;6.116705;23.76875;1584.07129;102.5;28.4760075;244.2431104
2023-02-22 11:53:00+00:00;6.14607239;23.79869;1542.19421;102.5;28.57983;243.233405
2023-02-22 12:03:00+00:00;6.47127771;23.875;1553.89673;102.5;28.7820129;242.882831
2023-02-22 12:13:00+00:00;5.69866562;24.0137653;1590.73865;102.539909;28.9819736;241.1181368
2023-02-22 12:23:00+00:00;5.84630966;24.13253;1549.028;102.6;29.26993;242.9497629
2023-02-22 12:33:00+00:00;5.45252228;24.2012615;1570.09326;102.6;29.4;234.9749785
2023-02-22 12:43:00+00:00;1.89032376;24.4112034;1491.93079;102.6;29.5803089;236.7003837
2023-02-22 12:53:00+00:00;0.111572795;24.5737152;1542.48254;102.6;29.7657871;239.6769419
2023-02-22 13:03:00+00:00;0.05625;24.7362251;1522.11914;102.639732;29.9579468;239.1128351
2023-02-22 13:13:00+00:00;0.051279295;24.7649117;1619.74084;102.700005;30.0339813;239.0994646
2023-02-22 13:23:00+00:00;0.05625;24.73125;1559.66077;102.700005;30.1439953;242.6872453
2023-02-22 13:33:00+00:00;0.05625;24.5974922;1580.99548;102.700005;30.07799;241.9019429
2023-02-22 13:43:00+00:00;0.055004884;24.5887451;1510.43848;102.700005;30.1560078;241.8107693
2023-02-22 13:53:00+00:00;0.05;24.7236843;1586.24561;102.700005;30.4139977;241.8880579
2023-02-22 14:03:00+00:00;0.05625;24.9075661;1606.18188;102.700005;30.807951;241.2420156
2023-02-22 14:13:00+00:00;0.05625;25.0861931;1582.41431;102.700005;31.1780567;241.557379
2023-02-22 14:23:00+00:00;0.05625;25.3075542;1568.4458;102.700005;31.6498547;245.1243757
2023-02-22 14:33:00+00:00;0.054966323;25.5773983;1526.34106;102.760117;31.9919643;243.3498438
2023-02-22 14:43:00+00:00;0.05625;25.8700619;1603.19531;102.8;32.4860077;240.1526694
2023-02-22 14:53:00+00:00;0.054966822;26.16875;1553.563;102.8;32.7940674;241.9726665
2023-02-22 15:03:00+00:00;0.051273167;26.3987255;1497.97876;102.8;33.187973;243.8907166
2023-02-22 15:13:00+00:00;0.054988086;26.5525227;1564.55432;102.8;33.5178261;241.596982
2023-02-22 15:23:00+00:00;0.05625;26.7174625;1585.14771;102.8;33.685936;239.6492489
2023-02-22 15:33:00+00:00;0.05625;26.77249;1637.96155;102.8;33.7879333;240.6921317
